_id,title,text,Timestamp,Section,label
1,Federation of Pakistan v Gen Pervez Musharraf: Treason now accountable,"After the special court's verdict in the high treason case, Article 6 can no longer be dismissed as a dead letter.",2020-01-01T21:55:00,,1
2,Chinese national held for beating traffic police constable in Karachi,The suspect assaulted the constable after he prevented the former from parking his car in a no-parking zone,2020-01-01T20:35:00,Pakistan,1
3,Iraqi paramilitaries call for withdrawal from US embassy,"Overnight, demonstrators pitched tents and camped outside the embassy walls.",2020-01-01T19:26:00,World,1
4,Sarmad Khoosat reveals why Zindagi Tamasha's trailer was removed from YouTube,We also have a release date.,2020-01-02T13:17:00,Pakistan,1
5,PSL 2020 set to begin on February 20,"Of the total 34 matches, 14 will take place in Lahore, nine in Karachi, eight in Rawalpindi and three in Multan.",2020-01-02T10:56:00,Sport,1
6,"Despite extreme differences, Centre willing to work with Sindh to benefit citizens: Asad Umar",Says meeting on Centre's projects in Karachi finds progress has improved but difficulties still remain.,2020-01-01T15:27:00,Pakistan,1
7,'Is NAB law only there for politicians?' asks Raza Rabbani during Senate session,Opposition criticises government for hastily summoning NA session as PM Imran stays away.,2020-01-02T08:01:00,,1
8,UAE Crown Prince to visit Pakistan tomorrow 'to further strengthen bonds of friendship',The Emirati crown prince had also visited Pakistan in January last year.,2020-01-02T12:53:00,World,1
9,â€˜New-year euphoriaâ€™ pushes stocks in the green as KSE-100 closes 664 points up,Analysts attribute rise to new yearâ€™s â€œeuphoriaâ€ coupled with a positive economic outlook in the medium to long term.,2020-01-01T18:13:00,Business,1
10,An Islamabad Police parody account is trolling Pakistanis on Twitter,"Not going to lie, we're more invested than ever in Islamabad because of this very funny albeit fake account",2020-01-01T15:17:00,Pakistan,1
11,"Thousands march in Hong Kong on New Year's Day, pledge to 'keep fighting'","Police fire tear gas, rubber bullets and water cannons during some brief standoffs.",2020-01-01T14:45:00,World,1
12,India approves third moon mission months after landing failure,India's third lunar mission will likely launch in 2020 and will cost less than its previous mission.,2020-01-01T14:32:00,World,1
13,Temperature in Karachi drops to season's lowest on first day of new year,"Temperature may drop as low as eight degrees Celsius in the coming days, says Met department official.",2020-01-01T15:11:00,Pakistan,1
14,India celebrates New Year's Eve with protests against citizenship law,"More than 200 people gather in and around a makeshift stage in a Muslim neighbourhood chanting slogans, reciting poetry.",2020-01-01T13:58:00,World,1
15,Smoke could affect play in 3rd Test at Sydney Cricket Ground,Air quality has been a regular concern for Sydney residents in recent weeks.,2020-01-01T13:27:00,Sport,1
16,Nasty divorce rumours about Syra-Shahroz point out celebs have the right to a personal life too,"â€œSocial media should be the first to apologise for â€˜breakingâ€™ the news,â€ wrote Anoushey Ashraf on Instagram.",2020-01-01T13:21:00,Pakistan,1
17,2019 lifted me to a new level in Test cricket: Babar Azam,"""The more you play the longer format, the more you understand the nuances of the game and find your way.""",2020-01-01T13:41:00,,1
18,"North Korea ends test moratoriums, threatens 'new' weapon","Pyongyang has previously fired missiles capable of reaching the entire US mainland, and carried out six nuclear tests.",2020-01-01T13:05:00,World,1
19,A 10-part documentary about Justin Bieber is heading to YouTube,It will chronicle the making of the singerâ€™s first album in four years and give fans a glimpse into his private life.,2020-01-01T13:42:00,World,1
20,Swat's snowy peaks a winter treat for tourists,"In winter, the scenic valley transforms into a white wonderland, offering tourists multiple opportunities for adventure.",2020-01-01T13:00:00,Pakistan,1
21,PIA chief stopped from working after petition challenges his appointment,SHC issues notices to Air Marsal Arshad Malik and federal govt for Jan 22.,2020-01-01T11:56:00,Pakistan,1
