Text,label
"After the special court's verdict in the high treason case, Article 6 can no longer be dismissed as a dead letter.",1
The suspect assaulted the constable after he prevented the former from parking his car in a no-parking zone,1
"Overnight, demonstrators pitched tents and camped outside the embassy walls.",1
We also have a release date.,1
"Of the total 34 matches, 14 will take place in Lahore, nine in Karachi, eight in Rawalpindi and three in Multan.",1
Says meeting on Centre's projects in Karachi finds progress has improved but difficulties still remain.,1
Opposition criticises government for hastily summoning NA session as PM Imran stays away.,1
The Emirati crown prince had also visited Pakistan in January last year.,1
Analysts attribute rise to new yearÃ¢â‚¬â„¢s Ã¢â‚¬Å“euphoriaÃ¢â‚¬Â coupled with a positive economic outlook in the medium to long term.,1
"Not going to lie, we're more invested than ever in Islamabad because of this very funny albeit fake account",1
"Police fire tear gas, rubber bullets and water cannons during some brief standoffs.",1
India's third lunar mission will likely launch in 2020 and will cost less than its previous mission.,1
"Temperature may drop as low as eight degrees Celsius in the coming days, says Met department official.",1
"More than 200 people gather in and around a makeshift stage in a Muslim neighbourhood chanting slogans, reciting poetry.",1
Air quality has been a regular concern for Sydney residents in recent weeks.,1
"Ã¢â‚¬Å“Social media should be the first to apologise for Ã¢â‚¬ËœbreakingÃ¢â‚¬â„¢ the news,Ã¢â‚¬Â wrote Anoushey Ashraf on Instagram.",1
"""The more you play the longer format, the more you understand the nuances of the game and find your way.""",1
"Pyongyang has previously fired missiles capable of reaching the entire US mainland, and carried out six nuclear tests.",1
It will chronicle the making of the singerÃ¢â‚¬â„¢s first album in four years and give fans a glimpse into his private life.,1
"In winter, the scenic valley transforms into a white wonderland, offering tourists multiple opportunities for adventure.",1
SHC issues notices to Air Marsal Arshad Malik and federal govt for Jan 22.,1
"Fashion in Pakistan has always been a rollercoaster ride but in 2019, it slowed down, becoming more of a chugging train.",1
"""They will pay a very BIG PRICE! This is not a Warning, it is a Threat,"" writes Trump, adding ""Happy New Year!""",1
"Patrick Collister, Editor, Directory magazine, on Directory's Top 20 Most-Awarded Campaigns of 2019",1
Punjab Governor Chaudhry Mohammad Sarwar administered oath to Justice Sheikh at a ceremony held at Governor House Lahore,1
"For Kashmiris and those lobbying for their rights, social media in its current form is more curse than blessing.",1
If anything the year gone by can be portrayed as a mixed bag of everything for Pakistan cricket.,1
The good moments in politics in Pakistan are just that Ã¢â‚¬â€ moments.,1
"IT was a year when India, by its own standards, went bonkers. From revocation of Article 370 to Citizenship (Amendment)",1
The good moments in politics in Pakistan are just that Ã¢â‚¬â€ moments.,1
Will the govt walk the critical walk in 2020?,1
Bahria's modus operandi has been the elephant in the room for a long time even though its activities were no secret.,1
"COURTS, parliament, hospitals, tentative agreements, accusations of last-minute betrayal Ã¢â‚¬â€œ yet it is moot if 2019...",1
"THIS was a happening year. Indeed, it was. But under the debris of all the important economic and political...",1
"AT last a conviction for high treason has been recorded and, hopefully, Article 6 of the Constitution can no longer...",1
Will the govt walk the critical walk in 2020?,1
"THE death of two men starkly opposite in character, and AmericaÃ¢â‚¬â„¢s abject surrender once again to Zionist power...",1
"At the start of this new year, let us all, and not just the government, embrace the coming decade with an open mind.",1
Rising authoritarianism is undermining democratic political culture and basic rights in Pakistan.,1
The United Nations expects 70 per cent of people globally to be living in urban areas by 2050.,1
Official says internet services in govt hospitals will also be restored while curbs on broadband internet will remain.,1
Rebel groups have suspended peace talks with the govt in response to the tribal clashes and called for an investigation.,1
"Says officers serving in the military intelligence are trying to destroy evidence, intimidate witnesses.",1
"Rules made in 2011 are not binding on existing parliamentary committee, observes IHC chief justice.",1
"The legislation, known as Assembly Bill 5, is due to go into effect on Wednesday.",1
The biggest appreciation seen in the British pound which gained over 15 per cent.,1
"The one tola and 10 gram rates on Dec 31 were quoted at Rs88,400 and Rs75,790 based on world price of $1,522 per ounce.",1
"Tax return filing date extended till Jan 31, 2020.",1
"Inevitably, much of the good, the bad and the ugly will carry over into the 2020s.",1
"KSE-100 index closes down by 152.55 points (0.37 per cent) at 40,735.08.",1
