Title,Text
Federation of Pakistan v Gen Pervez Musharraf: Treason now accountable,"After years of waiting, the historic special court verdict has struck a blow to impunity, reminding Pakistan's powerful that no one is above the law – not even military dictators. Article 6, now in full force, shatters the false narrative of “untouchable” leaders. The rule of law may finally be catching up."
Chinese national held for beating traffic police constable in Karachi,"In a shocking display of disrespect, a Chinese national ruthlessly assaulted a Karachi traffic cop after being told he couldn’t park in a no-parking zone. It’s a scandal that raises troubling questions about the treatment of Pakistanis by foreign nationals. How long will this kind of behaviour be tolerated?"
Iraqi paramilitaries call for withdrawal from US embassy,"The situation at the US embassy in Baghdad has reached boiling point as Iraqi paramilitaries demand the immediate withdrawal of American troops. Tensions are rising with the US caught in a deadly crossfire, leaving many wondering: Is the embassy under siege?"
Sarmad Khoosat reveals why Zindagi Tamasha's trailer was removed from YouTube,"In a bombshell revelation, Sarmad Khoosat explains that Pakistan’s oppressive censorship machinery forced the trailer of his controversial film, Zindagi Tamasha, to be taken down. The truth behind the film’s online blacklisting will make you question the state’s grip on artistic freedom."
PSL 2020 set to begin on February 20,"The much-awaited PSL 2020 is back, but will it live up to the hype? With 34 electrifying matches spread across multiple cities, this year’s tournament is shaping up to be a grand spectacle, but don’t hold your breath for smooth sailing—the tension between organizers and players threatens to overshadow the action."
"Despite extreme differences, Centre willing to work with Sindh to benefit citizens: Asad Umar","In a shocking twist, the Centre’s Asad Umar has offered an olive branch to Sindh, despite the bitter political rift. But will these empty words translate into action, or is this just another case of hollow promises?"
'Is NAB law only there for politicians?' asks Raza Rabbani during Senate session,"Raza Rabbani’s fiery comments in the Senate raised eyebrows, questioning the selectivity of Pakistan's notorious NAB law. Is it a tool for accountability, or just a weapon used against politicians? The allegations are explosive, and the nation is watching closely."
UAE Crown Prince to visit Pakistan tomorrow 'to further strengthen bonds of friendship',"The UAE Crown Prince is making another high-profile visit to Pakistan, but will this “friendship” come with a hefty price tag? The visit raises serious concerns about Pakistan’s growing reliance on foreign powers."
‘New-year euphoria’ pushes stocks in the green as KSE-100 closes 664 points up,"The stock market has exploded with excitement, but is this rise sustainable, or are we witnessing yet another short-lived 'new year euphoria'? Investors are scrambling for answers as experts warn that the economy may not be as stable as it seems."
An Islamabad Police parody account is trolling Pakistanis on Twitter,"In an astonishing turn of events, Islamabad Police’s parody account is now taking the internet by storm, poking fun at everything from traffic jams to political scandals. This hilarious yet satirical account has left Pakistanis in stitches, but is it undermining the authority it mocks?"
"Thousands march in Hong Kong on New Year's Day, pledge to 'keep fighting'","The streets of Hong Kong erupted in chaos as thousands of brave protesters marched into the teeth of government brutality. With tear gas, rubber bullets, and water cannons unleashed on them, they *refuse to back down*. Hong Kong’s fight for freedom is *far from over*, and they’ll keep pushing until the authorities are forced to listen. The world is watching, and the anger is growing."
India approves third moon mission months after landing failure,"India’s space agency is *back with a vengeance*, ignoring the disastrous failure of their last mission. Their arrogance knows no bounds as they roll out plans for a third moon mission. But will they succeed, or are they just throwing money away in a desperate bid to salvage their dignity? As they launch yet another mission at *half the cost*, the real question remains: will this be their triumph, or another embarrassing failure?"
